username,password,contact,job,email,Student,year_Graduated,ID_No
Krishna,k@23,233444,Admin,Admin@amrita,none,none,None
samyukth,sam@2310,123456,None,samyukth@gmail.com,1,2020,0
rohit,rohit@34,123421313,None,rohit@gmail.com,1,2019,1
nitin,nitin123,123752,None,nitin@gmail.com,0,2012,0
hari,hari@45,126725,None,hari23@gmail.com,0,2011,1
ragul,r@123,120674,none,ragul@yahoo.com,1,2020,2
Sundar,Sund@11,793459235,softwareengineer,Sund@gmail.com,0,2011,2
Abhi,a123,1234562,None,abhi@gmail.com,1,2020,3
Sammy,barca,2341566,None,Barca@gmail.com,1,2020,4
Swaran,dj,1234315,DJ,SwaranDj@gmail.com,0,2010,3
